round189 result: own hp -533 vs opp hp -295, you lose, hp_diff: -238, avg_loss: 0.7168, Total reward: -11.95999999999999
round190 result: own hp -588 vs opp hp -296, you lose, hp_diff: -292, avg_loss: 0.9106, Total reward: -29.319999999999997
round191 result: own hp -459 vs opp hp -365, you lose, hp_diff: -94, avg_loss: 0.8439, Total reward: -9.549999999999999
round192 result: own hp -543 vs opp hp -168, you lose, hp_diff: -375, avg_loss: 0.8897, Total reward: -36.31
round193 result: own hp -603 vs opp hp -527, you lose, hp_diff: -76, avg_loss: 0.7580, Total reward: -6.600000000000007
round194 result: own hp -614 vs opp hp -394, you lose, hp_diff: -220, avg_loss: 0.9302, Total reward: -22.809999999999995
round195 result: own hp -600 vs opp hp -496, you lose, hp_diff: -104, avg_loss: 0.8835, Total reward: -9.5
round196 result: own hp -416 vs opp hp -485, you win, hp_diff: 69, avg_loss: 0.9294, Total reward: 6.939999999999985
round197 result: own hp -545 vs opp hp -339, you lose, hp_diff: -206, avg_loss: 0.7459, Total reward: -20.969999999999995
round198 result: own hp -631 vs opp hp -266, you lose, hp_diff: -365, avg_loss: 0.8656, Total reward: -36.940000000000005
round199 result: own hp -577 vs opp hp -319, you lose, hp_diff: -258, avg_loss: 0.7010, Total reward: -25.749999999999982
round200 result: own hp -600 vs opp hp -305, you lose, hp_diff: -295, avg_loss: 0.7834, Total reward: -29.810000000000027
round201 result: own hp -393 vs opp hp -271, you lose, hp_diff: -122, avg_loss: 0.9674, Total reward: -13.439999999999998
round202 result: own hp -534 vs opp hp -369, you lose, hp_diff: -165, avg_loss: 0.8404, Total reward: -17.10000000000006
round203 result: own hp -360 vs opp hp -406, you win, hp_diff: 46, avg_loss: 0.9520, Total reward: 4.490000000000025
round204 result: own hp -723 vs opp hp -397, you lose, hp_diff: -326, avg_loss: 0.7896, Total reward: -32.7
round205 result: own hp -583 vs opp hp -455, you lose, hp_diff: -128, avg_loss: 0.8141, Total reward: -12.51999999999999
round206 result: own hp -813 vs opp hp -553, you lose, hp_diff: -260, avg_loss: 1.0196, Total reward: -26.260000000000044
