round203 result: own hp -528 vs opp hp -392, you lose, hp_diff: -136, avg_loss: 1.0357, Total reward: -13.760000000000035
round204 result: own hp -700 vs opp hp -328, you lose, hp_diff: -372, avg_loss: 1.5241, Total reward: -36.25
round205 result: own hp -340 vs opp hp -224, you lose, hp_diff: -116, avg_loss: 0.2690, Total reward: -11.759999999999998
round206 result: own hp -452 vs opp hp -351, you lose, hp_diff: -101, avg_loss: 0.9875, Total reward: -10.609999999999996
round207 result: own hp -352 vs opp hp -353, you win, hp_diff: 1, avg_loss: 0.4226, Total reward: -1.2200000000000024
round208 result: own hp -567 vs opp hp -314, you lose, hp_diff: -253, avg_loss: 1.1858, Total reward: -28.139999999999993
round209 result: own hp -456 vs opp hp -485, you win, hp_diff: 29, avg_loss: 1.6042, Total reward: 0.2999999999999905
round210 result: own hp -642 vs opp hp -388, you lose, hp_diff: -254, avg_loss: 1.9332, Total reward: -26.759999999999998
round211 result: own hp -622 vs opp hp -493, you lose, hp_diff: -129, avg_loss: 2.1486, Total reward: -10.97
round212 result: own hp -722 vs opp hp -525, you lose, hp_diff: -197, avg_loss: 2.1564, Total reward: -20.93000000000003
round213 result: own hp -319 vs opp hp -505, you win, hp_diff: 186, avg_loss: 0.6799, Total reward: 18.10000000000001
round214 result: own hp -660 vs opp hp -572, you lose, hp_diff: -88, avg_loss: 3.0267, Total reward: -9.290000000000001
round215 result: own hp -587 vs opp hp -260, you lose, hp_diff: -327, avg_loss: 1.4309, Total reward: -35.409999999999975
round216 result: own hp -646 vs opp hp -363, you lose, hp_diff: -283, avg_loss: 2.0227, Total reward: -29.120000000000015
round217 result: own hp -515 vs opp hp -384, you lose, hp_diff: -131, avg_loss: 1.1142, Total reward: -14.060000000000002
round218 result: own hp -522 vs opp hp -453, you lose, hp_diff: -69, avg_loss: 1.3534, Total reward: -5.250000000000004
round219 result: own hp -369 vs opp hp -308, you lose, hp_diff: -61, avg_loss: 0.4554, Total reward: -6.239999999999999
round220 result: own hp -491 vs opp hp -527, you win, hp_diff: 36, avg_loss: 1.2929, Total reward: 3.3099999999999756
round221 result: own hp -329 vs opp hp -290, you lose, hp_diff: -39, avg_loss: 0.5308, Total reward: -4.009999999999995
round222 result: own hp -589 vs opp hp -572, you lose, hp_diff: -17, avg_loss: 2.1383, Total reward: -2.6299999999999955
round223 result: own hp -387 vs opp hp -160, you lose, hp_diff: -227, avg_loss: 0.4684, Total reward: -22.820000000000007
round224 result: own hp -668 vs opp hp -483, you lose, hp_diff: -185, avg_loss: 2.3072, Total reward: -18.700000000000017
round225 result: own hp -488 vs opp hp -340, you lose, hp_diff: -148, avg_loss: 0.9754, Total reward: -15.189999999999996
round226 result: own hp -684 vs opp hp -498, you lose, hp_diff: -186, avg_loss: 2.4948, Total reward: -19.049999999999994
round227 result: own hp -379 vs opp hp -389, you win, hp_diff: 10, avg_loss: 0.5640, Total reward: 0.8300000000000018
round228 result: own hp -808 vs opp hp -575, you lose, hp_diff: -233, avg_loss: 2.9153, Total reward: -23.599999999999998
round229 result: own hp -644 vs opp hp -426, you lose, hp_diff: -218, avg_loss: 1.7165, Total reward: -22.30000000000001
round230 result: own hp -580 vs opp hp -410, you lose, hp_diff: -170, avg_loss: 1.5666, Total reward: -17.440000000000005
round231 result: own hp -419 vs opp hp -298, you lose, hp_diff: -121, avg_loss: 0.5952, Total reward: -13.650000000000027
round232 result: own hp -477 vs opp hp -456, you lose, hp_diff: -21, avg_loss: 1.2404, Total reward: -2.4199999999999964
round233 result: own hp -416 vs opp hp -353, you lose, hp_diff: -63, avg_loss: 0.8642, Total reward: -7.330000000000002
round234 result: own hp -577 vs opp hp -415, you lose, hp_diff: -162, avg_loss: 1.1034, Total reward: -16.85
round235 result: own hp -503 vs opp hp -325, you lose, hp_diff: -178, avg_loss: 1.1293, Total reward: -17.97
round236 result: own hp -443 vs opp hp -271, you lose, hp_diff: -172, avg_loss: 0.4616, Total reward: -17.220000000000006
round237 result: own hp -568 vs opp hp -412, you lose, hp_diff: -156, avg_loss: 1.4679, Total reward: -15.560000000000006
round238 result: own hp -408 vs opp hp -362, you lose, hp_diff: -46, avg_loss: 0.7320, Total reward: -4.669999999999995
round239 result: own hp -678 vs opp hp -364, you lose, hp_diff: -314, avg_loss: 1.5335, Total reward: -33.76999999999998
